baker,series,episode,technical,result
Jordan,5,3,10,FALSE
Kate,5,3,1,FALSE
Luis,5,3,2,FALSE
Martha,5,3,3,FALSE
Nancy,5,3,5,FALSE
Norman,5,3,4,FALSE
Richard,5,3,6,FALSE
Chetna,5,4,3,FALSE
Diana,5,4,9,FALSE
Iain,5,4,6,FALSE
Kate,5,4,7,FALSE
Luis,5,4,2,FALSE
Martha,5,4,1,FALSE
Nancy,5,4,4,FALSE
Norman,5,4,8,FALSE
Richard,5,4,5,FALSE
Chetna,5,5,2,FALSE
Kate,5,5,3,FALSE
Luis,5,5,6,FALSE
Martha,5,5,1,FALSE
Nancy,5,5,4,FALSE
Norman,5,5,5,FALSE
Richard,5,5,7,FALSE
Chetna,5,6,2,FALSE
Kate,5,6,6,FALSE
Luis,5,6,3,FALSE
Martha,5,6,4,FALSE
Nancy,5,6,1,FALSE
Richard,5,6,5,FALSE
Chetna,5,7,6,FALSE
Kate,5,7,4,FALSE
Luis,5,7,5,FALSE
Martha,5,7,3,FALSE
Nancy,5,7,2,FALSE
Richard,5,7,1,FALSE
Chetna,5,8,1,FALSE
Luis,5,8,2,FALSE
Martha,5,8,5,FALSE
Nancy,5,8,3,FALSE
Richard,5,8,4,FALSE
Chetna,5,9,4,FALSE
Luis,5,9,1,FALSE
Nancy,5,9,3,FALSE
Richard,5,9,2,FALSE
Luis,5,10,2,FALSE
Nancy,5,10,1,FALSE
Richard,5,10,3,FALSE
Alvin,6,1,2,FALSE
Dorret,6,1,5,FALSE
Flora,6,1,6,FALSE
Ian,6,1,8,FALSE
Marie,6,1,3,FALSE
Mat,6,1,7,FALSE
Nadiya,6,1,12,FALSE
Paul,6,1,10,FALSE
Sandy,6,1,9,FALSE
Stu,6,1,11,FALSE
Tamal,6,1,4,FALSE
Ugnė,6,1,1,FALSE
Alvin,6,2,6,FALSE
Dorret,6,2,1,FALSE
Flora,6,2,2,FALSE
Ian,6,2,3,FALSE
Marie,6,2,11,FALSE
Mat,6,2,5,FALSE
Nadiya,6,2,9,FALSE
Paul,6,2,10,FALSE
Sandy,6,2,4,FALSE
Tamal,6,2,8,FALSE
Ugnė,6,2,7,FALSE
Alvin,6,3,4,FALSE
Dorret,6,3,6,FALSE
Flora,6,3,2,FALSE
Ian,6,3,1,FALSE
Mat,6,3,8,FALSE
Nadiya,6,3,9,FALSE
Paul,6,3,10,FALSE
Sandy,6,3,7,FALSE
Tamal,6,3,3,FALSE
Ugnė,6,3,5,FALSE
Alvin,6,4,9,FALSE
Flora,6,4,3,FALSE
Ian,6,4,4,FALSE
Mat,6,4,7,FALSE
Nadiya,6,4,8,FALSE
Paul,6,4,1,FALSE
Sandy,6,4,6,FALSE
Tamal,6,4,5,FALSE
Ugnė,6,4,2,FALSE
Alvin,6,5,8,FALSE
Flora,6,5,3,FALSE
Ian,6,5,5,FALSE
Mat,6,5,4,FALSE
Nadiya,6,5,1,FALSE
Paul,6,5,2,FALSE
Tamal,6,5,7,FALSE
Ugnė,6,5,6,FALSE
Alvin,6,6,6,FALSE
Flora,6,6,2,FALSE
Ian,6,6,3,FALSE
Mat,6,6,1,FALSE
Nadiya,6,6,4,FALSE
Paul,6,6,5,FALSE
Tamal,6,6,7,FALSE
Flora,6,7,4,FALSE
Ian,6,7,5,FALSE
Mat,6,7,6,FALSE
Nadiya,6,7,1,FALSE
Paul,6,7,2,FALSE
Tamal,6,7,3,FALSE
Flora,6,8,3,FALSE
Ian,6,8,2,FALSE
Nadiya,6,8,1,FALSE
Paul,6,8,5,FALSE
Tamal,6,8,4,FALSE
Flora,6,9,1,FALSE
Ian,6,9,3,FALSE
Nadiya,6,9,4,FALSE
Tamal,6,9,2,FALSE
Ian,6,10,2,FALSE
Nadiya,6,10,1,FALSE
Tamal,6,10,3,FALSE
Andrew,7,1,12,FALSE
Benjamina,7,1,6,FALSE
Candice,7,1,5,FALSE
Jane,7,1,7,FALSE
Kate,7,1,4,FALSE
Lee,7,1,11,FALSE
Louise,7,1,9,FALSE
Michael,7,1,3,FALSE
Rav,7,1,8,FALSE
Selasi,7,1,1,FALSE
Tom,7,1,2,FALSE
Val,7,1,10,FALSE
Andrew,7,2,4,FALSE
Benjamina,7,2,3,FALSE
Candice,7,2,8,FALSE
Jane,7,2,2,FALSE
Kate,7,2,1,FALSE
Louise,7,2,10,FALSE
Michael,7,2,9,FALSE
Rav,7,2,6,FALSE
Selasi,7,2,11,FALSE
Tom,7,2,7,FALSE
Val,7,2,5,FALSE
Andrew,7,3,2,FALSE
Benjamina,7,3,6,FALSE
Candice,7,3,3,FALSE
Jane,7,3,9,FALSE
Kate,7,3,8,FALSE
Michael,7,3,7,FALSE
Rav,7,3,10,FALSE
Selasi,7,3,5,FALSE
Tom,7,3,4,FALSE
Val,7,3,1,FALSE
Andrew,7,4,4,FALSE
Benjamina,7,4,1,FALSE
Candice,7,4,2,FALSE
Jane,7,4,3,FALSE
Kate,7,4,7,FALSE
Rav,7,4,9,FALSE
Selasi,7,4,8,FALSE
Tom,7,4,5,FALSE
Val,7,4,6,FALSE
Andrew,7,5,6,FALSE
Benjamina,7,5,5,FALSE
Candice,7,5,2,FALSE
Jane,7,5,1,FALSE
Rav,7,5,8,FALSE
Selasi,7,5,3,FALSE
Tom,7,5,4,FALSE
Val,7,5,7,FALSE
Andrew,7,6,6,FALSE
Benjamina,7,6,2,FALSE
Candice,7,6,5,FALSE
Jane,7,6,4,FALSE
Rav,7,6,3,FALSE
Selasi,7,6,7,FALSE
Tom,7,6,1,FALSE
Andrew,7,7,1,FALSE
Benjamina,7,7,3,FALSE
Candice,7,7,2,FALSE
Jane,7,7,4,FALSE
Selasi,7,7,6,FALSE
Tom,7,7,5,FALSE
Andrew,7,8,2,FALSE
Benjamina,7,8,4,FALSE
Candice,7,8,1,FALSE
Jane,7,8,5,FALSE
Selasi,7,8,3,FALSE
Andrew,7,9,2,FALSE
Candice,7,9,3,FALSE
Jane,7,9,1,FALSE
Selasi,7,9,4,FALSE
Andrew,7,10,1,FALSE
Candice,7,10,2,FALSE
Jane,7,10,3,FALSE
Chris,8,1,12,FALSE
Flo,8,1,9,FALSE
James,8,1,2,FALSE
Julia,8,1,3,FALSE
Kate,8,1,1,FALSE
Liam,8,1,8,FALSE
Peter,8,1,10,FALSE
Sophie,8,1,5,FALSE
Stacey,8,1,11,FALSE
Steven,8,1,6,FALSE
Tom,8,1,7,FALSE
Yan,8,1,4,FALSE
Chris,8,2,11,FALSE
Flo,8,2,10,FALSE
James,8,2,3,FALSE
Julia,8,2,4,FALSE
Kate,8,2,8,FALSE
Liam,8,2,7,FALSE
Sophie,8,2,2,FALSE
Stacey,8,2,9,FALSE
Steven,8,2,6,FALSE
Tom,8,2,5,FALSE
Yan,8,2,1,FALSE
Flo,8,3,7,FALSE
James,8,3,9,FALSE
Julia,8,3,2,FALSE
Kate,8,3,10,FALSE
Liam,8,3,5,FALSE
Sophie,8,3,6,FALSE
Stacey,8,3,1,FALSE
Steven,8,3,3,FALSE
Tom,8,3,4,FALSE
Yan,8,3,8,FALSE
James,8,4,2,FALSE
Julia,8,4,9,FALSE
Kate,8,4,6,FALSE
Liam,8,4,3,FALSE
Sophie,8,4,4,FALSE
Stacey,8,4,1,FALSE
Steven,8,4,7,FALSE
Tom,8,4,5,FALSE
Yan,8,4,8,FALSE
James,8,5,7,FALSE
Julia,8,5,3,FALSE
Kate,8,5,8,FALSE
Liam,8,5,2,FALSE
Sophie,8,5,1,FALSE
Stacey,8,5,4,FALSE
Steven,8,5,5,FALSE
Yan,8,5,6,FALSE
Julia,8,6,7,FALSE
Kate,8,6,5,FALSE
Liam,8,6,4,FALSE
Sophie,8,6,2,FALSE
Stacey,8,6,6,FALSE
Steven,8,6,3,FALSE
Yan,8,6,1,FALSE
Kate,8,7,6,FALSE
Liam,8,7,2,FALSE
Sophie,8,7,3,FALSE
Stacey,8,7,4,FALSE
Steven,8,7,1,FALSE
Yan,8,7,5,FALSE
Kate,8,8,2,FALSE
Liam,8,8,5,FALSE
Sophie,8,8,4,FALSE
Stacey,8,8,3,FALSE
Steven,8,8,1,FALSE
Kate,8,9,4,FALSE
Sophie,8,9,1,FALSE
Stacey,8,9,2,FALSE
Steven,8,9,3,FALSE
Kate,8,10,3,FALSE
Sophie,8,10,2,FALSE
Steven,8,10,1,FALSE
